Customer_ID,Age,Gender,Loyalty_Member,Product_Type,SKU,Rating,Order_Status,Payment_Method,Total_Price,Unit_Price,Quantity,Purchase_Date,Shipping_Type,Add_on_Total
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,20-03-2024,Standard,40.21
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,20-04-2024,Overnight,26.09
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,17-10-2023,Express,0
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,09-08-2024,Overnight,60.16
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,21-05-2024,Express,35.56
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83,20.75,4,26-05-2024,Standard,65.78
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,30-01-2024,Overnight,0
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,24-06-2024,Overnight,75.33
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,03-10-2023,Standard,43.05
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,01-01-2024,Express,0
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,25-06-2024,Overnight,90.38
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,07-11-2023,Overnight,55.48
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,25-09-2023,Express,65.85
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,07-07-2024,Standard,70.17
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,18-03-2024,Overnight,57.81
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,02-01-2024,Standard,69.31
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,18-05-2024,Standard,8.3
1015,22,Male,No,Smartphone,SKU1001,5,Completed,Paypal,83,20.75,4,02-09-2024,Standard,80
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,103.75,20.75,5,07-07-2024,Overnight,0
1018,34,Male,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,23-07-2024,Express,70.39
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83,20.75,4,14-03-2024,Express,0
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,20-04-2024,Express,37.87
1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Paypal,844.83,844.83,1,21-07-2024,Express,49.17
1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,02-12-2023,Express,37.13
1021,71,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,20-03-2024,Overnight,49.54
1022,76,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,6758.64,844.83,8,27-04-2024,Overnight,73.49
1024,49,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,10-07-2024,Overnight,51.93
1025,77,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,29-01-2024,Overnight,0
1025,77,Male,No,Smartphone,SKU1001,5,Completed,Cash,83,20.75,4,28-08-2024,Express,77.78
1027,22,Male,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,28-11-2023,Overnight,0
1028,79,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,30-11-2023,Overnight,0
1030,69,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,27-02-2024,Express,46.03
1031,20,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,21-01-2024,Express,0
1031,20,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,03-09-2024,Overnight,17.79
1033,54,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,30-11-2023,Overnight,0
1033,54,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,12-01-2024,Standard,49.24
1035,32,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,24-09-2023,Standard,0
1035,32,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,25-03-2024,Standard,33.56
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,3955.95,791.19,5,12-10-2023,Standard,56.62
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Paypal,791.19,791.19,1,28-01-2024,Express,0
1038,56,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,4224.15,844.83,5,08-07-2024,Overnight,10
1038,56,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,29-07-2024,Standard,0
1038,56,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,145.25,20.75,7,17-08-2024,Express,47.94
1038,56,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,23-09-2024,Overnight,26.01
1039,53,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1729.21,247.03,7,31-08-2024,Standard,0
1040,45,Female,Yes,Smartphone,SKU1004,2,Completed,Credit Card,6329.52,791.19,8,16-10-2023,Standard,92.79
1042,65,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,145.25,20.75,7,26-06-2024,Overnight,53.02
1042,65,Female,No,Smartwatch,SKU1003,3,Completed,Cash,5913.81,844.83,7,16-07-2024,Overnight,111.25
1043,76,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,207.5,20.75,10,05-03-2024,Overnight,0
1047,73,Male,No,Tablet,SKU1002,3,Completed,Debit Card,2470.3,247.03,10,11-12-2023,Express,63.23
1048,67,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,2470.3,247.03,10,28-10-2023,Express,0
1049,50,Female,No,Smartphone,SKU1001,5,Completed,Paypal,145.25,20.75,7,25-06-2024,Standard,86.36
1052,72,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,5068.98,844.83,6,03-08-2024,Standard,45.46
1053,79,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,20-12-2023,Standard,88.3
1054,30,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,08-05-2024,Standard,79.9
1056,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,27-04-2024,Overnight,41.24
1057,71,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,7603.47,844.83,9,22-10-2023,Express,0
1057,71,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,1482.18,247.03,6,28-03-2024,Express,116.77
1058,21,Female,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,12-06-2024,Overnight,92.57
1058,21,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,3955.95,791.19,5,08-07-2024,Express,0
1059,37,Male,No,Laptop,SKU1005,3,Completed,Paypal,3247.72,463.96,7,22-02-2024,Overnight,66.17
1059,37,Male,No,Laptop,SKU1005,3,Completed,Debit Card,463.96,463.96,1,27-06-2024,Express,5.52
1060,72,Male,Yes,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,28-09-2023,Standard,52.01
1060,72,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,1482.18,247.03,6,07-12-2023,Overnight,31.89
1060,72,Male,No,Smartphone,SKU1004,2,Completed,Paypal,1582.38,791.19,2,29-01-2024,Overnight,49.59
1061,56,Male,Yes,Tablet,SKU1002,3,Completed,Cash,1976.24,247.03,8,25-10-2023,Standard,14.49
1061,56,Male,No,Laptop,SKU1005,3,Completed,Paypal,463.96,463.96,1,21-05-2024,Express,83.41
1062,62,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,6329.52,791.19,8,23-03-2024,Standard,26.24
1063,64,Male,Yes,Laptop,SKU1005,3,Completed,Paypal,1855.84,463.96,4,25-04-2024,Standard,0
1063,64,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,2373.57,791.19,3,08-07-2024,Express,6.47
1066,44,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,2373.57,791.19,3,28-02-2024,Standard,43.16
1066,44,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,13-07-2024,Overnight,40.68
1067,49,Male,No,Tablet,SKU1002,3,Cancelled,Paypal,1729.21,247.03,7,17-10-2023,Standard,0
1067,49,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,30-12-2023,Standard,81.55
1069,27,Male,No,Smartphone,SKU1001,5,Completed,Cash,145.25,20.75,7,21-05-2024,Standard,96.61
1070,30,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,62.25,20.75,3,29-11-2023,Standard,6.3
1071,54,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,17-06-2024,Overnight,0
1073,46,Female,No,Tablet,SKU1002,3,Completed,Cash,2223.27,247.03,9,11-07-2024,Standard,8.66
1073,46,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,1976.24,247.03,8,12-09-2024,Express,46.38
1074,58,Male,No,Smartwatch,SKU1003,3,Completed,Cash,7603.47,844.83,9,06-11-2023,Standard,58.95
1077,26,Male,No,Smartphone,SKU1004,2,Completed,Cash,2373.57,791.19,3,26-12-2023,Express,12.28
1077,26,Male,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,14-05-2024,Overnight,12.86
1079,64,Male,No,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,24-10-2023,Standard,25.61
1079,64,Male,Yes,Smartphone,SKU1004,2,Completed,Paypal,3164.76,791.19,4,12-09-2024,Overnight,8.16
1079,64,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,2373.57,791.19,3,15-09-2024,Overnight,101.06
1080,55,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,3164.76,791.19,4,03-01-2024,Standard,0
1080,55,Female,No,Tablet,SKU1002,3,Completed,Credit Card,247.03,247.03,1,18-08-2024,Express,16.65
1083,24,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,29-07-2024,Overnight,0
1085,74,Male,No,Smartphone,SKU1001,5,Completed,Cash,20.75,20.75,1,11-10-2023,Express,91.36
1085,74,Male,No,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,02-05-2024,Overnight,10.04
1086,76,Male,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,01-07-2024,Overnight,25.72
1089,45,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,09-08-2024,Express,0
1090,31,Male,No,Tablet,SKU1002,3,Cancelled,Debit Card,741.09,247.03,3,04-05-2024,Express,22.88
1091,22,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,1689.66,844.83,2,22-03-2024,Express,14.52
1093,56,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,7120.71,791.19,9,27-04-2024,Express,29.11
1094,65,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,20.75,20.75,1,07-05-2024,Overnight,0
1096,20,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,13-12-2023,Standard,27.89
1096,20,Female,No,Laptop,SKU1005,3,Completed,Cash,4639.6,463.96,10,15-05-2024,Overnight,85.32
1097,19,Male,No,Tablet,SKU1002,3,Completed,Paypal,988.12,247.03,4,25-03-2024,Express,51.12
1099,68,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,1582.38,791.19,2,09-10-2023,Standard,100.12
1099,68,Female,No,Laptop,SKU1005,3,Cancelled,Paypal,1391.88,463.96,3,31-05-2024,Overnight,0
1100,63,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,741.09,247.03,3,29-02-2024,Express,35.79
1100,63,Female,Yes,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,19-05-2024,Overnight,48.78
1101,33,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,09-10-2023,Standard,88.38
1101,33,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,791.19,791.19,1,25-10-2023,Overnight,32.35
1101,33,Female,No,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,23-05-2024,Overnight,125.35
1101,33,Female,No,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,23-07-2024,Express,77.61
1102,55,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,166,20.75,8,06-08-2024,Express,0
1105,42,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1482.18,247.03,6,20-09-2024,Overnight,102
1109,37,Female,No,Laptop,SKU1005,3,Cancelled,Debit Card,1855.84,463.96,4,25-03-2024,Overnight,104.93
1109,37,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,13-07-2024,Overnight,42.66
1110,76,Male,No,Smartphone,SKU1001,5,Completed,Credit Card,207.5,20.75,10,11-07-2024,Express,0
1112,58,Female,No,Tablet,SKU1002,3,Completed,Paypal,2223.27,247.03,9,15-02-2024,Overnight,63.79
1112,58,Female,No,Tablet,SKU1002,3,Completed,Paypal,2223.27,247.03,9,19-06-2024,Express,48.57
1114,25,Female,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,31-01-2024,Overnight,71.97
1115,31,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,791.19,791.19,1,30-12-2023,Overnight,53.95
1115,31,Female,Yes,Smartwatch,SKU1003,3,Completed,Paypal,844.83,844.83,1,04-06-2024,Overnight,0
1115,31,Female,No,Tablet,SKU1002,3,Completed,Debit Card,247.03,247.03,1,10-09-2024,Standard,0
1116,55,Female,No,Laptop,SKU1005,3,Cancelled,Paypal,4175.64,463.96,9,10-01-2024,Overnight,15.85
1116,55,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,20-05-2024,Express,0
1117,34,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,06-03-2024,Overnight,48.25
